country,id_pays
Africa,1
Andorra,2
Argentina,3
Aruba,4
Asia,5
Australia,6
Austria,7
Bahamas,8
Bahrain,9
Barbados,10
Belgium,11
Benin,12
Bermuda,13
Bolivia,14
Bosnia and Herzegovina,15
Brazil,16
Bulgaria,17
Cameroon,18
Canada,19
Central African Republic,20
Chile,21
China,22
Colombia,23
Congo,24
Costa Rica,25
Croatia,26
Cuba,27
Curacao,28
Cyprus,29
Czechia,30
Democratic Republic of Congo,31
Denmark,32
Dominican Republic,33
Ecuador,34
Egypt,35
El Salvador,36
Estonia,37
Europe,38
Finland,39
France,40
Georgia,41
Germany,42
Ghana,43
Gibraltar,44
Greece,45
Greenland,46
Guadeloupe,47
Guam,48
Guatemala,49
Guyana,50
Honduras,51
Hungary,52
Iceland,53
India,54
Indonesia,55
Iran,56
Ireland,57
Israel,58
Italy,59
Jamaica,60
Japan,61
Jordan,62
Latvia,63
Lebanon,64
Liberia,65
Lithuania,66
Luxembourg,67
Malta,68
Martinique,69
Mexico,70
Moldova,71
Monaco,72
Montenegro,73
Morocco,74
Mozambique,75
Netherlands,76
New Caledonia,77
New Zealand,78
Nigeria,79
North America,80
Norway,81
Oceania,82
Pakistan,83
Panama,84
Paraguay,85
Peru,86
Philippines,87
Poland,88
Portugal,89
Puerto Rico,90
Qatar,91
Romania,92
Russia,93
Saint Martin (French part),94
San Marino,95
Saudi Arabia,96
Serbia,97
Singapore,98
Slovakia,99
Slovenia,100
South Africa,101
South America,102
South Korea,103
Spain,104
Sri Lanka,105
Sudan,106
Sweden,107
Switzerland,108
Thailand,109
Turkey,110
Ukraine,111
United Arab Emirates,112
United Kingdom,113
United States,114
Uruguay,115
Venezuela,116
Vietnam,117
World,118
