id_region,nom_region,id_pays
1,Africa,1
2,Andorra,2
3,Argentina,3
4,Aruba,4
5,Asia,5
6,Australia,6
7,Austria,7
8,Bahamas,8
9,Bahrain,9
10,Barbados,10
11,Belgium,11
12,Benin,12
13,Bermuda,13
14,Bolivia,14
15,Bosnia and Herzegovina,15
16,Brazil,16
17,Bulgaria,17
18,Cameroon,18
19,Canada,19
20,Central African Republic,20
21,Chile,21
22,China,22
23,Colombia,23
24,Congo,24
25,Costa Rica,25
26,Croatia,26
27,Cuba,27
28,Curacao,28
29,Cyprus,29
30,Czechia,30
31,Democratic Republic of Congo,31
32,Denmark,32
33,Dominican Republic,33
34,Ecuador,34
35,Egypt,35
36,El Salvador,36
37,Estonia,37
38,Europe,38
39,Finland,39
40,France,40
41,Georgia,41
42,Germany,42
43,Ghana,43
44,Gibraltar,44
45,Greece,45
46,Greenland,46
47,Guadeloupe,47
48,Guam,48
49,Guatemala,49
50,Guyana,50
51,Honduras,51
52,Hungary,52
53,Iceland,53
54,India,54
55,Indonesia,55
56,Iran,56
57,Ireland,57
58,Israel,58
59,Italy,59
60,Jamaica,60
61,Japan,61
62,Jordan,62
63,Latvia,63
64,Lebanon,64
65,Liberia,65
66,Lithuania,66
67,Luxembourg,67
68,Malta,68
69,Martinique,69
70,Mexico,70
71,Moldova,71
72,Monaco,72
73,Montenegro,73
74,Morocco,74
75,Mozambique,75
76,Netherlands,76
77,New Caledonia,77
78,New Zealand,78
79,Nigeria,79
80,North America,80
81,Norway,81
82,Oceania,82
83,Pakistan,83
84,Panama,84
85,Paraguay,85
86,Peru,86
87,Philippines,87
88,Poland,88
89,Portugal,89
90,Puerto Rico,90
91,Qatar,91
92,Romania,92
93,Russia,93
94,Saint Martin (French part),94
95,San Marino,95
96,Saudi Arabia,96
97,Serbia,97
98,Singapore,98
99,Slovakia,99
100,Slovenia,100
101,South Africa,101
102,South America,102
103,South Korea,103
104,Spain,104
105,Sri Lanka,105
106,Sudan,106
107,Sweden,107
108,Switzerland,108
109,Thailand,109
110,Turkey,110
111,Ukraine,111
112,United Arab Emirates,112
113,United Kingdom,113
114,United States,114
115,Uruguay,115
116,Venezuela,116
117,Vietnam,117
118,World,118
